No	Nama File	File ID	Status	Link Google Drive	Sumber
25	Fix your negative balance.jpg	1y7JXbHjHvis_OaV46l9B5J4w-Mmek7AR	PUBLIC - VIEWER	https://drive.google.com/file/d/1y7JXbHjHvis_OaV46l9B5J4w-Mmek7AR/view?usp=sharing	Direct File ID
26	akun limited.jpg	1I9dDLhV9afqYier1FopzmlNPclOF_gLS	PUBLIC - VIEWER	https://drive.google.com/file/d/1I9dDLhV9afqYier1FopzmlNPclOF_gLS/view?usp=sharing	Direct File ID
27	2026-08-11_103513.jpg	1CGr06lZ7-O7IlY1suYMkSFc_oAq7F4wx	PUBLIC - VIEWER	https://drive.google.com/file/d/1CGr06lZ7-O7IlY1suYMkSFc_oAq7F4wx/view?usp=sharing	Direct File ID
28	Transaksi.jpg	1OA-uMvANOkObGC3HNNPjq5rECGAsT_gr	PUBLIC - VIEWER	https://drive.google.com/file/d/1OA-uMvANOkObGC3HNNPjq5rECGAsT_gr/view?usp=sharing	Direct File ID
29	Transaction details.png	1NgT8LHUfvGjZXyv9fYez5j5Wt0bVkbvZ	PUBLIC - VIEWER	https://drive.google.com/file/d/1NgT8LHUfvGjZXyv9fYez5j5Wt0bVkbvZ/view?usp=sharing	Direct File ID
30	Transaction details wbass.jpg	1yMguPUfDNw2FepZ_5U9rSiqStzhsbtNn	PUBLIC - VIEWER	https://drive.google.com/file/d/1yMguPUfDNw2FepZ_5U9rSiqStzhsbtNn/view?usp=sharing	Direct File ID
31	tranferan dari paypal anton jadi grey not available yet.jpg	1QEefgRg7DxkpJktZjSAH-1R8j6OIJUsr	PUBLIC - VIEWER	https://drive.google.com/file/d/1QEefgRg7DxkpJktZjSAH-1R8j6OIJUsr/view?usp=sharing	Direct File ID
32	Screenshot 2026-07-18 111714.png	1O3LsVCBznWnH8fgyFefFsl1KNVyr6jOU	PUBLIC - VIEWER	https://drive.google.com/file/d/1O3LsVCBznWnH8fgyFefFsl1KNVyr6jOU/view?usp=sharing	Direct File ID
33	Resolution Center.png	1KjyM3GRd-5f_SyXLOlKoisI14a08CaXf	PUBLIC - VIEWER	https://drive.google.com/file/d/1KjyM3GRd-5f_SyXLOlKoisI14a08CaXf/view?usp=sharing	Direct File ID
34	Permintaan Pembayaran Diterima.jpg	1w9ynYk6h9zaBKvQMyeIp_vd1S2iAWaKk	PUBLIC - VIEWER	https://drive.google.com/file/d/1w9ynYk6h9zaBKvQMyeIp_vd1S2iAWaKk/view?usp=sharing	Direct File ID
